OBJECTID,Kód_ADM,Kód_obce,Název_obce,Název_MOMC,Název_MOP,Kód_části_obce,Název_části_obce,Název_ulice,Typ_SO,Číslo_domovní,Číslo_orientační,Znak_čísla_orientačního,PSČ,Souřadnice_Y,Souřadnice_X,Platí_Od,x,y
180,"21,725,152","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,857,15,,"11,000","742,694.000000000000000","1,042,622.000000000000000",2013-12-11T00:00:00,"458,741.639874888580000","5,549,004.801624117400000"
181,"21,725,161","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,858,13,,"11,000","742,699.250000000000000","1,042,639.780000000000000",2013-12-11T00:00:00,"458,738.720628960060000","5,548,986.497184310100000"
182,"21,725,179","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,859,11,,"11,000","742,688.000000000000000","1,042,655.000000000000000",2013-12-11T00:00:00,"458,751.832529315720000","5,548,972.852755444100000"
183,"21,725,187","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Vězeňská,č.p.,859,9,,"11,000","742,694.000000000000000","1,042,668.000000000000000",2013-12-11T00:00:00,"458,747.554976279850000","5,548,959.191374389500000"
184,"21,725,195","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Vězeňská,č.p.,860,7,,"11,000","742,715.229999999980000","1,042,668.540000000000000",2013-12-11T00:00:00,"458,726.574117508720000","5,548,955.926026636700000"
185,"21,725,209","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,861,14,,"11,000","742,757.229999999980000","1,042,620.790000000000000",2013-12-11T00:00:00,"458,678.789496026000000","5,548,997.870757175600000"
186,"21,725,217","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,862,16,,"11,000","742,740.199999999950000","1,042,620.520000000000000",2013-12-11T00:00:00,"458,695.640626048670000","5,549,000.328321946800000"
187,"21,725,225","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,863,17,,"11,000","742,740.000000000000000","1,042,589.189999999900000",2013-12-11T00:00:00,"458,691.810236442830000","5,549,031.418587474200000"
188,"21,725,233","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,864,13,,"11,000","742,774.000000000000000","1,042,596.000000000000000",2013-12-11T00:00:00,"458,658.973721797580000","5,549,020.294298617200000"
189,"21,725,241","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,864,15,,"11,000","742,759.000000000000000","1,042,597.000000000000000",2013-12-11T00:00:00,"458,673.975343287920000","5,549,021.231589803500000"
190,"21,725,250","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,865,11,,"11,000","742,796.000000000000000","1,042,597.000000000000000",2013-12-11T00:00:00,"458,637.288529520850000","5,549,016.473837656900000"
191,"21,725,268","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,865,20,,"11,000","742,805.000000000000000","1,042,587.000000000000000",2013-12-11T00:00:00,"458,627.078818835320000","5,549,025.231819676200000"
192,"21,725,276","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,866,22,,"11,000","742,795.449999999950000","1,042,564.439999999900000",2013-12-11T00:00:00,"458,633.647013886830000","5,549,048.828689696300000"
