,address,X,Y,probab
30,a33,458663.90180855244,5548972.4993077945,0.43971971237468765
47,a6,458612.2119154092,5548914.417817658,0.4383681177985316
2,a185,458678.789496026,5548997.870757176,0.4383001127757001
219,a208,458708.69938836526,5548873.980023099,0.43828559614415014
236,a221,458728.28219686635,5548873.565599702,0.43763344936995946
212,a128,458972.53899961617,5549035.754141394,0.4375030027758926
155,a148,458823.1714620339,5548998.679257866,0.43063237584291303
21,a104,458880.3494233191,5548938.1011997815,0.42820988931161974
222,a219,458758.6880095033,5548857.798426552,0.42702981185863503
175,a77,458810.3965669023,5548832.241788756,0.4253770161324509
189,a174,458729.19657621626,5549060.090902777,0.42130395400951015
220,a220,458747.43253105786,5548851.297733108,0.42029816795002806
12,a222,458707.53097234666,5548839.065640952,0.4198885303557892
250,a232,458877.1346925404,5548962.88937493,0.419565137179882
240,a155,458753.132411398,5549040.570953991,0.4192224772591068
167,a260,458935.44425523933,5548961.609354848,0.41862993349641225
23,a102,458952.44510450494,5548936.713623907,0.41834477114041
22,a103,458884.8121707272,5548943.337853579,0.41260362619127927
137,a114,458814.7283479804,5548861.033253105,0.41256609138242273
181,a71,458936.27059158776,5548850.2092495505,0.4111523632652488
169,a264,458876.96892489307,5548971.941705979,0.4089314287951486
134,a111,458854.81321868673,5548891.598089229,0.40840425528567587
116,a197,458661.78906232305,5548995.787029257,0.40209989432928744
32,a31,458633.54545203503,5548967.59464783,0.4008697895291765
136,a113,458842.5783022903,5548875.624332802,0.39739007260295267
20,a105,458913.00277423207,5548918.219656233,0.3949537551979199
133,a110,458874.4203380877,5548906.077981651,0.39439251333298125
135,a112,458828.10096994415,5548867.223751977,0.3933267813190163
80,a204,458680.4943990642,5548828.542283334,0.3917342587916684
17,a108,458888.1187567981,5548914.498531865,0.3902156243860644
195,a258,458622.2961097285,5548852.208770663,0.38856932966651525
252,a159,458831.81888181996,5549013.784483412,0.38572521315175523
197,a248,458854.26678106934,5548829.65378868,0.38551200334879615
241,a156,458810.7529938938,5549023.84663832,0.38361567346140385
13,a223,458723.3859936688,5548834.588654766,0.3829417295038605
15,a188,458658.9737217976,5549020.294298617,0.3817097910451979
45,a4,458609.6807278544,5548943.730742585,0.3805154944298572
11,a225,458742.934980439,5548831.558599347,0.3799765420527408
228,a51,458781.40499155317,5548799.244091593,0.3791907126926906
174,a76,458838.9950841814,5548847.746592367,0.3788321821745943
204,a120,458887.5055369446,5548975.122920312,0.37765413789653834
16,a109,458871.00573330745,5548893.536716869,0.37689130331135656
158,a142,458871.16535700206,5548993.369536098,0.37381246847663796
207,a125,458942.6101237815,5549017.757950341,0.3699387589733748
208,a124,458950.322404759,5549012.708904678,0.36831681934132143
183,a79,458861.2107606791,5548857.816141879,0.3682533119163116
18,a107,458891.9193837261,5548903.306344172,0.36635502939826947
114,a195,458641.58620445523,5548998.883522157,0.3626737168910784
19,a106,458899.1173089342,5548902.223406864,0.3620339697630266
218,a247,458839.7978796242,5548828.029426545,0.36169057790335873
95,a84,458932.52886188123,5548888.156705188,0.3599351727569543
10,a224,458748.57278384827,5548819.183098372,0.35910799338269167
209,a127,458976.06513966154,5549024.112994898,0.3589750126363595
76,a161,458759.53800514713,5549059.357768018,0.35848747987356844
88,a83,458917.81532955915,5548880.955500888,0.35564031216507125
182,a78,458818.274619624,5548818.140411086,0.3554321645790072
77,a160,458838.2052908074,5549027.588284636,0.3547574441961378
37,a8,458595.35581026506,5548912.231821364,0.35398864174167954
229,a52,458795.4150764076,5548800.052799279,0.3532778486942396
115,a196,458631.83661563974,5548988.545309288,0.3520815858444558
206,a122,458924.18253647815,5548987.65265139,0.3520487146528958
203,a121,458907.0473656915,5548981.710194062,0.3518009620465982
171,a254,458935.39548263606,5548989.661322616,0.3517824258195602
24,a101,458969.961010362,5548947.494423052,0.3517627028851712
196,a233,459002.1936411476,5549032.542504115,0.3501388002277541
168,a261,458951.2597073065,5548997.707413157,0.34984482261273847
91,a80,458876.50612426735,5548866.050595082,0.3481338120489945
157,a143,458877.55456887186,5549006.296563869,0.347231463961944
249,a255,458688.6551336162,5548816.070524337,0.3454911516256558
89,a82,458905.11659804825,5548877.887088027,0.34236945240922384
247,a257,458638.95234156493,5548817.0653163735,0.34176216169534834
90,a81,458889.520800109,5548870.258923093,0.3401184275514036
211,a129,458989.56086348277,5549028.88780695,0.33799612218536135
217,a246,458866.29148325045,5549024.032091061,0.33728457245855503
109,a190,458637.28852952085,5549016.473837657,0.33402094824225725
44,a3,458607.0992917074,5548962.158634793,0.33188525797775137
96,a241,458919.791112354,5549055.9535009675,0.3314077565854432
51,a130,458987.4120260263,5549037.682960631,0.32923304046988905
251,a158,458829.3892201977,5549043.402944587,0.3288891081347073
